8;{'location': {'lat': 2.3689197, 'lng': 102.0990067}, 'viewport': {'northeast': {'lat': 2.370296429892722, 'lng': 102.1003417298927}, 'southwest': {'lat': 2.367596770107277, 'lng': 102.0976420701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;0ce30062d5132627088051fe0a7e2032949f6089;Bengkel Motor Wan John;;"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108370074718843917616"">Oll Scoll</a>'], 'photo_reference': 'CmRaAAAARdZiv50qFuJkbecGAQn_oxBSXZw18nq7YE47Ks11IIwcRuBqEWr_MmmYUq1BNdAea8YN7DjSUSgRtnp10687WnPaOH2PxAgPCgw86sN9ChdIuOgmV-VrtAKZB3yKTiYBEhDSVs744zRIjGSNayGo9WjvGhTWdSyPQgvr889mZv3v6pCb4ag8xw', 'width': 3000}]";ChIJVSPpXi3_0TER8z8TNkhClKw;{'compound_code': '939X+HJ Masjid Tanah, Malacca', 'global_code': '6PJ4939X+HJ'};0.0;ChIJVSPpXi3_0TER8z8TNkhClKw;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];0;Jalan Sri Aman 22, Taman Sri Aman, Masjid Tanah
0;{'location': {'lat': 2.466021, 'lng': 102.233264}, 'viewport': {'northeast': {'lat': 2.467377979892722, 'lng': 102.2346151798927}, 'southwest': {'lat': 2.464678320107278, 'lng': 102.2319155201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;a1366fa3180f37c9958f0af95e02e1272b29c109;Station Motor Trading;ChIJE7mKJlEDzjERB5kiul4Bpzs;{'compound_code': 'F68M+C8 Tampin, Negeri Sembilan', 'global_code': '6PJ4F68M+C8'};4.5;ChIJE7mKJlEDzjERB5kiul4Bpzs;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];2;Tampin, LOT 1780 Batu Batang Pulau Sebang73000;;
1;{'location': {'lat': 2.4671893, 'lng': 102.231309}, 'viewport': {'northeast': {'lat': 2.468539729892722, 'lng': 102.2327187798927}, 'southwest': {'lat': 2.465840070107277, 'lng': 102.2300191201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;2087eb49c6babce5b542b9d13e7d980260796579;Max Speed Tampin;ChIJuclpKH8DzjERYczUaQi3640;{'compound_code': 'F68J+VG Tampin, Negeri Sembilan', 'global_code': '6PJ4F68J+VG'};5.0;ChIJuclpKH8DzjERYczUaQi3640;GOOGLE;['point_of_interest', 'store', 'establishment'];2;No 18, Jalan Besar, Tampin;{'open_now': True};"[{'height': 978, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113044293224443381849"">David Lee</a>'], 'photo_reference': 'CmRaAAAAGudU4gi7bDuAf9bHcY1ILstZMixujsOOLBa7CBIKOe4NSYoaLb7aVY8Hq-d5X3__w54gRN_JpGS4XoVwhauuqEfnc-rXARL5sxa9gMu7BWql-dNWF3yUI_Wjgjv66djXEhCFuRZiBgOiMzt3VCf6RH4vGhQ4pSoDTDxcsTq-sOH7jM86IEHsbw', 'width': 1080}]"
2;{'location': {'lat': 2.4773609, 'lng': 102.219123}, 'viewport': {'northeast': {'lat': 2.478699479892722, 'lng': 102.2204671298927}, 'southwest': {'lat': 2.475999820107277, 'lng': 102.2177674701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;6760d6de2319b306e88f10da466226f73a99c211;Ng Kim Teck Motor;ChIJVXJrdYADzjERziC3ziyMiFQ;{'compound_code': 'F6G9+WJ Tampin, Negeri Sembilan', 'global_code': '6PJ4F6G9+WJ'};0.0;ChIJVXJrdYADzjERziC3ziyMiFQ;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];0;Taman Woon, Tampin;{'open_now': True};
3;{'location': {'lat': 2.488306, 'lng': 102.232697}, 'viewport': {'northeast': {'lat': 2.489692829892722, 'lng': 102.2340475298927}, 'southwest': {'lat': 2.486993170107277, 'lng': 102.2313478701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;7a5bbfdbc3dedf034ecb9d57ffc7d0e08094e684;KK CHONG MOTOR;ChIJJ5Abq18FzjERo-jlBje04ao;{'compound_code': 'F6QM+83 Tampin, Negeri Sembilan', 'global_code': '6PJ4F6QM+83'};4.0;ChIJJ5Abq18FzjERo-jlBje04ao;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];1;5921, Taman Gunung Mas, Tampin;{'open_now': True};
4;{'location': {'lat': 2.4757648, 'lng': 102.2323339}, 'viewport': {'northeast': {'lat': 2.477136579892723, 'lng': 102.2336868298927}, 'southwest': {'lat': 2.474436920107278, 'lng': 102.2309871701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;d5060c1f35d3a5289e9b8b452041e47534721eff;UMT Motor;ChIJ82EbX8UDzjERJI4Q_dACu4w;{'compound_code': 'F6GJ+8W Tampin, Negeri Sembilan', 'global_code': '6PJ4F6GJ+8W'};4.0;ChIJ82EbX8UDzjERJI4Q_dACu4w;GOOGLE;['point_of_interest', 'store', 'establishment'];3;Kampung Baru, Tampin;{'open_now': True};"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109806327100222207681"">Zulfadhli Redza</a>'], 'photo_reference': 'CmRaAAAAKUNGBD_Vd_a81vy2VU33eHX_hrFiT0qXKW7ZDx7BinovhufHAJ2jhacjw6o0MZRopI8Y_KCOALg0MGpPCwzyFYANCq0B41a1j82Pz7aBxS7Lz9f_9GXx2xbBY7C9oQDEEhCiovMJyJkGKkECSUQ7sX3NGhRkyFnCd640eZ4h6M3irSv0BI3YpA', 'width': 2340}]"
5;{'location': {'lat': 2.4883774, 'lng': 102.2308621}, 'viewport': {'northeast': {'lat': 2.489736229892722, 'lng': 102.2322121298927}, 'southwest': {'lat': 2.487036570107278, 'lng': 102.2295124701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;72f0f8eb256c7ff1d1bc70c5c17b74f14a1e5e06;Lang Hong Motor;ChIJsdGRcMUFzjERVy2OrGqoEU0;{'compound_code': 'F6QJ+98 Tampin, Negeri Sembilan', 'global_code': '6PJ4F6QJ+98'};4.8;ChIJsdGRcMUFzjERVy2OrGqoEU0;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];4;Jalan Pasar Tampin, Taman Bahagia, Tampin;{'open_now': True};"[{'height': 2415, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118433359563227126531"">Boo Zhong Jin</a>'], 'photo_reference': 'CmRaAAAAPWv8D1FJTr7bpZeRKc-2ngl1akkprzs9c8Wx0cBZwPv3tLEczaWTGRBDzIYGTb0VrY8408Q2lWkLd1Em-QV_R-HDjdnqcpMSVxrwRh68iLtaKzQ9QS61Xd_7prXI5BC0EhAqGZEJcs_1OXpZukrTSowPGhQ9M5YaoZSmx-URv16SbPpsYT0eLg', 'width': 2592}]"
0;{'location': {'lat': 2.52176, 'lng': 102.392618}, 'viewport': {'northeast': {'lat': 2.523073429892722, 'lng': 102.3939316798927}, 'southwest': {'lat': 2.520373770107278, 'lng': 102.3912320201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;cb230bdb13b225f27a7c20a406a135b7698ca288;Syarikat Thian Seng;"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102232754411977549120"">Devanathan Subramaniam</a>'], 'photo_reference': 'CmRaAAAAVbZNO-sMjfyUdd_xIYKZSMX7uX_qRL30ygL69m1QAG4iPdOasEXevNZ8A35mlCDKgdlg6M8b2VJC1lEkZl2OEJlra0-QchZPC7RPBVzt6kgbsLRUk7sSsStraEpgJrbKEhD1IwJHl_jio9A7rF1VlTWxGhSmVODAbA4RP1atOMWXwJRdK03e5g', 'width': 3600}]";ChIJ8d1v1lQYzjEROrUv-jDT-oY;{'compound_code': 'G9CV+P2 Gemencheh, Negeri Sembilan', 'global_code': '6PJ4G9CV+P2'};3.7;ChIJ8d1v1lQYzjEROrUv-jDT-oY;GOOGLE;['car_repair', 'point_of_interest', 'store', 'establishment'];3;No. 3801, Jalan Taman Asahan 1, Kampung Seri Asahan, Negeri Sembilan ‎, Gemencheh
1;{'location': {'lat': 2.5385437, 'lng': 102.4061421}, 'viewport': {'northeast': {'lat': 2.539883829892722, 'lng': 102.4074833798927}, 'southwest': {'lat': 2.537184170107277, 'lng': 102.4047837201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;563edddfd2c0cbd19bf2d8f41f6d49d4e6fcdfdc;Leong Motor Gemencheh;;ChIJ1bi3eDgYzjERtt8YktlH2RY;{'compound_code': 'GCQ4+CF Gemencheh, Negeri Sembilan', 'global_code': '6PJ4GCQ4+CF'};4.2;ChIJ1bi3eDgYzjERtt8YktlH2RY;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];5;Gemencheh
2;{'location': {'lat': 2.5282752, 'lng': 102.3975124}, 'viewport': {'northeast': {'lat': 2.529584179892723, 'lng': 102.3989112298927}, 'southwest': {'lat': 2.526884520107278, 'lng': 102.3962115701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;0c5091e98907ff625ba7a70db740604d231e2c58;G-Deen Vape Moncheh;"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103690728352675657053"">Jank Rokan</a>'], 'photo_reference': 'CmRaAAAA9q4vgN4EKZQp-l3Ge774T7OoZplMnT9A1tomKLFm3eQ6hUinGSpNYnF4j78Tyikh6iVzz8wjV1yDLMoroBtZYuxxFmVcc0UJL6ah9p-embNTYnY9XnUfHOMNONJ8HMneEhDuwZwax_J7fSmWGh93WlmBGhTJCrHIr2XMCmqjZpJCsUYdmw8fFg', 'width': 3264}]";ChIJ5We0BFIYzjERlQMJxFsxhsc;{'compound_code': 'G9HX+82 Gemencheh, Negeri Sembilan', 'global_code': '6PJ4G9HX+82'};3.6;ChIJ5We0BFIYzjERlQMJxFsxhsc;GOOGLE;['store', 'point_of_interest', 'establishment'];20;Gemencheh
0;{'location': {'lat': 2.4386878, 'lng': 102.683348}, 'viewport': {'northeast': {'lat': 2.440034829892723, 'lng': 102.6846964298927}, 'southwest': {'lat': 2.437335170107278, 'lng': 102.6819967701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;afd1c159b5c2e7ad93fcebf0d5a1715859c3a960;Kedai Motosikal Zycon Motor;"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101665128642707038929"">A Google User</a>'], 'photo_reference': 'CmRaAAAAQkZxptZNhD-wVikpX5l6ZeTZEoc3t3Aews8AIrWnosFn5wVj0KXz1ELbnZSWkYvdcR-eTDAvc-Lufum54BGijWVBdhyvYKP3JKTBQG3Jyp0rFi0mNcEp8JL2DPs8sWAtEhAo_PnOMpYIpP73DtKMIuniGhSiYHx1MaYCQ-gkBaAZehJkwepfWQ', 'width': 720}]";ChIJObic6TspzjER3Oe1dAfbEaw;{'compound_code': 'CMQM+F8 Jementah, Johor', 'global_code': '6PJ4CMQM+F8'};0.0;ChIJObic6TspzjER3Oe1dAfbEaw;GOOGLE;['point_of_interest', 'store', 'establishment'];0;Kampung Bahru, Jementah;
1;{'location': {'lat': 2.4287759, 'lng': 102.6777775}, 'viewport': {'northeast': {'lat': 2.430183729892723, 'lng': 102.6790687298927}, 'southwest': {'lat': 2.427484070107278, 'lng': 102.6763690701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;8dc8f618c8cbbd055aa46a7bf8251f1bde7c4026;SIANG HENG MOTOR;;ChIJOfQFF7ApzjERcIOafiEEtGg;{'compound_code': 'CMHH+G4 Jementah, Johor', 'global_code': '6PJ4CMHH+G4'};3.0;ChIJOfQFF7ApzjERcIOafiEEtGg;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];2;Taman Jaya, Jementah;{'open_now': True}
2;{'location': {'lat': 2.4417344, 'lng': 102.6849}, 'viewport': {'northeast': {'lat': 2.443084679892722, 'lng': 102.6862420798927}, 'southwest': {'lat': 2.440385020107277, 'lng': 102.6835424201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;3636a521ee6f5ee4f968e62ff81b628c9c60edb9;KEDAI MOTOR GEE HONG;"[{'height': 1569, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112925650275198963901"">Izat Iberzat</a>'], 'photo_reference': 'CmRaAAAAkkK4jjzINddRY-cs540vaPtDloHuCwOsJZhCKyPz-kslEpKNjBlIQ8KNBwYeyVHpa3hLWDOAj0n6L0O1djADmPO79jqFAt8ct4zPdt9DQRa8HDAvI97-Cv6ZvrYGlPleEhCsuAep7WEueUUn1jao_tWlGhSZbhsj90ZoEhW_VqRDly7x3PgMcg', 'width': 1078}]";ChIJOaYa2cQpzjERmLDTgAXpMaE;{'compound_code': 'CMRM+MX Jementah, Johor', 'global_code': '6PJ4CMRM+MX'};0.0;ChIJOaYa2cQpzjERmLDTgAXpMaE;GOOGLE;['point_of_interest', 'store', 'establishment'];0;Kampung Gelugor, Jementah;
3;{'location': {'lat': 2.4306465, 'lng': 102.6793623}, 'viewport': {'northeast': {'lat': 2.431993779892722, 'lng': 102.6807148298927}, 'southwest': {'lat': 2.429294120107277, 'lng': 102.6780151701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;5ed5f3edfa4734e83aab15e44f564c8dbd2d9f55;LEONG CHUN MOTOR;"[{'height': 1066, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112925650275198963901"">Izat Iberzat</a>'], 'photo_reference': 'CmRaAAAALQNRL8p3nVXfmikwIJR9O4l93CipvQzUdZe2lrN6YErbP0u-j_HSjzxjawLUILLTAgkmVH0loqWOCUQ3VmxNKeyikNB5ixO7EtSusk29ebwKK5BRaj2syjpxyJ7w9ZT-EhCHg8jJ3ln-Sf0zJ0h-rtWHGhRBVdw7f9LCn3CqqDY7Zw9RwnRaOA', 'width': 1012}]";ChIJn7wEpGUpzjEROWzEQ3kXj4g;{'compound_code': 'CMJH+7P Jementah, Johor', 'global_code': '6PJ4CMJH+7P'};0.0;ChIJn7wEpGUpzjEROWzEQ3kXj4g;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];0;Taman Pelangi, Jementah;
4;{'location': {'lat': 2.4291585, 'lng': 102.6772229}, 'viewport': {'northeast': {'lat': 2.430522879892723, 'lng': 102.6785563798927}, 'southwest': {'lat': 2.427823220107278, 'lng': 102.6758567201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;8c127c1600ef1ec3832c429ed0e025ec9cdc0ee4;SENG LEONG MOTORS, JEMENTAH;"[{'height': 1225, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112925650275198963901"">Izat Iberzat</a>'], 'photo_reference': 'CmRaAAAAw5L-mDkuXwpsf0MMmhihuYrie6xPO8XwFYuQM1qMBfbuKIypFqOVOBW90UDZOSuVZnRJCSplv9kVq7ReFjqFdNbnYz8LIUjs7RhEDRS1DEP4XvRmwGYGMT-YaS6FAMIUEhCN-FEwTkPJ7Yv_R3NgtfHMGhRYhZrDWuel5OAXRz42S287-BjjTA', 'width': 1080}]";ChIJu4_PBdApzjERbskbCC6GVxY;{'compound_code': 'CMHG+MV Jementah, Johor', 'global_code': '6PJ4CMHG+MV'};0.0;ChIJu4_PBdApzjERbskbCC6GVxY;GOOGLE;['point_of_interest', 'store', 'establishment'];0;Jalan Delima 1, Kampung Permatang Panjang, Jementah;
5;{'location': {'lat': 2.4319726, 'lng': 102.6806866}, 'viewport': {'northeast': {'lat': 2.433341179892722, 'lng': 102.6820177298927}, 'southwest': {'lat': 2.430641520107277, 'lng': 102.6793180701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;0ad0b873b6fd63f003291885bd1a8c133fc0f345;Tah Lee Tyre & Battery;"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110701411225094723580"">A Google User</a>'], 'photo_reference': 'CmRaAAAANPazs6Vg7SRRr5kLW0_swsEGyIsOq3jyN37Ur9fO7FzOMLdWewBGOVA8Vl-_YEU9lSI2S9CxFb6DiZZL3ROqHHe_eMEAGvVpLw0tG6QunakkWRMNmWrfgcE9qFxEjtTkEhCPhLpqS_BoZ-DFTuma9gQFGhTHNtVJICh62Lcct36CLpM7U_WGoQ', 'width': 1080}]";ChIJj1njoKUpzjERjyO5z6pqBg0;{'compound_code': 'CMJJ+Q7 Jementah, Johor', 'global_code': '6PJ4CMJJ+Q7'};4.3;ChIJj1njoKUpzjERjyO5z6pqBg0;GOOGLE;['car_repair', 'point_of_interest', 'store', 'establishment'];27;1, Jalan Ayu 1, Taman Molek, Jementah;{'open_now': True}
